Algorithm,FS Method,Balancing Method,Normalized,class,accuracy,precision,recall,f1-score,support
Knn 4,Pearson Coeff,Random Under Sampler,MinMax Scaler,0,,0.3333333333333333,0.5,0.4,4
Knn 4,Pearson Coeff,Random Under Sampler,MinMax Scaler,1,,0.9166666666666666,0.8461538461538461,0.8799999999999999,26
Knn 5,Pearson Coeff,Random Under Sampler,MinMax Scaler,0,,0.3333333333333333,0.75,0.46153846153846156,4
Knn 5,Pearson Coeff,Random Under Sampler,MinMax Scaler,1,,0.9523809523809523,0.7692307692307693,0.8510638297872339,26
Knn mean,Pearson Coeff,Random Under Sampler,MinMax Scaler,0,0.7832258064516129,0.35333333333333333,0.55,0.4211965811965812
Knn mean,Pearson Coeff,Random Under Sampler,MinMax Scaler,1,0.7832258064516129,0.9156849816849816,0.8230769230769232,0.8652301274028431
Knn 1,Pearson Coeff,Random Under Sampler,Not Normalized,0,,0.3,0.6,0.4,5
Knn 1,Pearson Coeff,Random Under Sampler,Not Normalized,1,,0.9047619047619048,0.7307692307692307,0.8085106382978723,26
Knn 2,Pearson Coeff,Random Under Sampler,Not Normalized,0,,0.4,0.4,0.4000000000000001,5
Knn 2,Pearson Coeff,Random Under Sampler,Not Normalized,1,,0.8846153846153846,0.8846153846153846,0.8846153846153846,26
Knn 3,Pearson Coeff,Random Under Sampler,Not Normalized,0,,0.4,0.5,0.4444444444444445,4
Knn 3,Pearson Coeff,Random Under Sampler,Not Normalized,1,,0.92,0.8846153846153846,0.9019607843137256,26
Knn 4,Pearson Coeff,Random Under Sampler,Not Normalized,0,,0.3333333333333333,0.5,0.4,4
Knn 4,Pearson Coeff,Random Under Sampler,Not Normalized,1,,0.9166666666666666,0.8461538461538461,0.8799999999999999,26
Knn 5,Pearson Coeff,Random Under Sampler,Not Normalized,0,,0.3333333333333333,0.75,0.46153846153846156,4
Knn 5,Pearson Coeff,Random Under Sampler,Not Normalized,1,,0.9523809523809523,0.7692307692307693,0.8510638297872339,26
Knn mean,Pearson Coeff,Random Under Sampler,Not Normalized,0,0.7832258064516129,0.35333333333333333,0.55,0.4211965811965812
Knn mean,Pearson Coeff,Random Under Sampler,Not Normalized,1,0.7832258064516129,0.9156849816849816,0.8230769230769232,0.8652301274028431
Knn 1,Pearson Coeff,Not balanced,Standardization,0,,0.3333333333333333,0.2,0.25,5
Knn 1,Pearson Coeff,Not balanced,Standardization,1,,0.8571428571428571,0.9230769230769231,0.888888888888889,26
